seg,start,end,slot_s,gap_after_s,est_speech_s,headroom_s,speedup_x,chars,text
1,0.00,5.60,5.60,0.00,1.64,3.96,1.000,26,"Over the past month or so,"
2,5.60,8.00,2.40,0.00,2.84,-0.44,1.182,45,I think many people have been concerned about
3,8.00,10.76,2.76,0.00,2.77,-0.01,1.005,44,"the war between the U.S., Israel, and Iran —"
4,10.76,14.00,3.24,0.00,3.03,0.21,1.000,48,a conflict that has shaken the global situation.
5,14.00,18.00,4.00,0.00,2.52,1.48,1.000,40,"Today I'd like to start with this topic,"
6,18.00,20.00,2.00,0.00,1.70,0.30,1.000,27,but from a different angle.
7,20.00,25.00,5.00,0.00,2.46,2.54,1.000,39,I think war serves as a kind of stage —
8,25.00,31.86,6.86,0.00,3.85,3.01,1.000,61,one where you can see how astonishing human invention can be.
9,31.86,36.90,5.04,0.00,3.28,1.76,1.000,52,"In this war, you see all kinds of different weapons."
10,36.90,39.66,2.76,0.00,2.96,-0.20,1.074,47,"I don't know if you've been following the news,"
11,39.66,45.02,5.36,0.00,3.28,2.08,1.000,52,"but in the upper-left corner here, that's the MOAB —"
12,45.02,47.46,2.44,0.00,1.51,0.93,1.000,24,the Mother of All Bombs.
13,47.46,54.70,7.24,0.00,3.53,3.71,1.000,56,It's the most powerful bomb in the conventional arsenal.
14,54.70,62.52,7.82,0.00,4.10,3.72,1.000,65,"Even just to drop it, they need a C-130 Hercules transport plane,"
15,62.52,65.14,2.62,0.00,2.33,0.29,1.000,37,because it's too heavy and too large.
16,65.14,67.44,2.30,0.00,1.51,0.79,1.000,24,This Mother of All Bombs
17,67.44,69.10,1.66,0.00,2.90,-1.24,1.747,46,is the strongest in the conventional category.
18,69.10,72.92,3.82,0.00,1.89,1.93,1.000,30,"If you want to go beyond that,"
19,72.92,75.78,2.86,0.00,2.90,-0.04,1.014,46,you have to step into unconventional weapons —
20,75.78,78.18,2.40,0.00,1.83,0.57,1.000,29,"nuclear weapons, for example."
21,78.18,80.20,2.02,0.00,2.21,-0.19,1.092,35,That's pushing things to the limit.
22,80.20,83.20,3.00,0.00,2.33,0.67,1.000,37,Next to it is the bunker-buster bomb.
23,83.20,87.68,4.48,0.00,3.40,1.08,1.000,54,"As you know, Iran has many underground missile cities,"
24,87.68,89.90,2.22,0.00,1.95,0.27,1.000,31,underground nuclear facilities.
25,89.90,95.98,6.08,0.00,3.40,2.68,1.000,54,The bomber that drops these bunker busters is the B-2.
